Node Pair,Connectivity Change (Z)
[Fusiform gyrus - Cingulate cortex posterior],0.13085188460038066
[Calcarine sulcus anterior - Precuneus anterior],0.12913219968700523
[Cingulate cortex posterior - Lingual gyrus],0.12303896986543768
[Cuneus - Central sulcus],0.12080350771291035
[Calcarine sulcus anterior - Postcentral gyrus inferior],0.11522892850344049
[Angular gyrus inferior - Superior parietal lobule posterior],0.1126348074559691
[Cuneus - Paracentral gyrus RH],0.11233897110821722
[Calcarine sulcus anterior - Intraparietal sulcus LH],0.10993006509619244
[Middle frontal gyrus - Superior fornix and isthmus],0.10969546171681213
[Cuneus - Precuneus anterior],0.10964603284554394
[Angular gyrus inferior - Superior occipital sulcus],0.10824956010075401
[Dorsomedial prefrontal cortex antero-superior - Superior occipital sulcus],0.1079672195315259
[Cingulate gyrus mid-posterior - Calcarine sulcus anterior],0.10745952632946444
[Fusiform gyrus - Parieto-occipital sulcus anterior],0.10461022461750125
[Superior frontal gyrus medial - Intraparietal sulcus RH],0.10389072879335821
[Calcarine sulcus anterior - Central sulcus],0.10377305185507221
[Dorsomedial prefrontal cortex antero-superior - Angular gyrus inferior],0.1036739192251529
[Fusiform gyrus - Calcarine sulcus anterior],0.10273639398352698
[Parieto-occipital sulcus anterior - Precuneus anterior],0.10247855594493209
[Angular gyrus inferior - Middle frontal gyrus anterior],0.10221913068610007
[Descending occipital gyrus - Occipital pole],0.10215445160585097
[Calcarine sulcus anterior - Postcentral gyrus LH],0.10197974421235435
[Parieto-occipital sulcus anterior - Cerebellum I-V],0.10094860173201951
[Postcentral gyrus inferior - Lingual gyrus anterior],0.09910498669873297
[Cingulate gyrus mid-posterior - Lingual gyrus],0.09883908943191022
[Lingual gyrus - Precuneus anterior],0.09842073266460968
[Calcarine sulcus anterior - Paracentral gyrus RH],0.09812823075977495
[Calcarine sulcus anterior - Callosomarginal sulcus],0.09811180033689294
[Cingulate cortex posterior - Calcarine sulcus anterior],0.09795250116454415
[Cuneus - Callosomarginal sulcus],0.09784336854290715
[Parieto-occipital sulcus anterior - Lingual gyrus],0.09772497666290689
[Cuneus - Postcentral gyrus LH],0.09671143590196818
[Lingual gyrus anterior - Intraparietal sulcus LH],0.09550089107204005
[Fusiform gyrus - Cingulate gyrus mid-posterior],0.09539885778233664
[Fusiform gyrus posterior - Parieto-occipital sulcus middle],0.09422764884776229
[Cuneus - Middle frontal gyrus],0.09295604943222543
[Cuneus - Intraparietal sulcus LH],0.0925045323323819
[Cingulate cortex posterior - Cerebellum I-V],0.09242374494940332
[Parieto-occipital sulcus anterior - Paracentral gyrus RH],0.09232690333238999
[Superior frontal sulcus - Angular gyrus inferior],0.0914015800794207
